localID;extractionDate;globalRating;positionOnRanking;sitesOnRanking;totalReviews;userName;userLocation;userContributions;tripType;reviewWritten;reviewVisited;reviewRating;reviewLanguage;reviewFullText
MAG032;2021-08-21 10:26:31.928;4.5;2;71;18392;Myke S@848mykes;Running Springs, CA;151;Solo;2019-10-08;2017-10-01;3;en;What a stunning magical place to visit.. I toured the inside , it was pretty packed that day so it was slow moving.. the grounds around  Pena Palce are worth the visit alone.. amazing photos to be taken.. there is so much in this area. I wish I would have explored more. 
MAG047;2021-08-21 13:14:06.924;5.0;1;71;13342;Ays Espiritu@AkoSiAys;Bonn, Germany;390;Couples;2019-01-04;2018-02-01;5;en;The whole place is just splendid! The palace looks elegant both in and out. Unfortunately, only one floor was open as the rest are under renovation.The garden is very lovely! What really amazed me are the tunnels, grotto and most especially the initiation wells. This is the highlight!I suggest that you visit this early in the morning to avoid the crowd. You need to take time to explore the place so plan ahead.
MAG032;2021-08-21 10:33:13.577;4.5;2;71;18392;603Paula603@603Paula603;Buenos Aires, Argentina;39;Solo;2019-01-15;2018-02-01;4;en;Sintra is not far away from Lisbon and if you have some free time it’s worth considering some time to visit the town. Beautiful streets and shop to buy crafts. The Pena National Palace is a must. Beautiful!
MAG032;2021-08-21 10:33:19.095;4.5;2;71;18392;Jessica G@C3368GCjessicag;Rockville, MD;124;Couples;2019-01-15;2018-02-01;4;en;If I was just reviewing the palace, this review would be much lower. It is a crazy thing to see, but man was it crowded. The tour inside was line after line for each room. The gardens are well worth the visit though. Misty forests, beautiful structures throughout. Very lovely.
MAG032;2021-08-21 10:33:31.088;4.5;2;71;18392;Ays Espiritu@AkoSiAys;Bonn, Germany;390;Couples;2019-01-04;2018-02-01;4;en;The mixture of styles and colors is not my thing but the palace is definitely worth a visit. It is huge and the park is vast! If you want to explore the garden and park, then you have to be fit and take time with you.I really like the interior of the palace.Quite extravagant for my taste but really interesting. I recommend you see it.There is a cafe near the entrance and a restaurant in the castle where you can have a bit of rest.
MAG021;2021-08-20 15:51:47.830;4.5;1;355;24454;S-ELinna@S-ELinna;Tornby, Denmark;91;Couples;2019-01-04;2018-02-01;5;en;Walking on this bridge is amazing - both on the top deck and bottom. The views are remarkable. If you stay in Ribeira, as we did, walk along the quay to the funicular at the base of the bridge, take that to the top, walk across the bridge, take the cable car down to Gaia, and walk back across the lower part of the bridge - or the other way around. It is great!  
MAG014;2021-08-20 14:31:55.896;4.5;3;726;30707;Mik1984@Mik1984;Guildford, UK;235;Couples;2019-01-28;2018-02-01;4;en;We enjoyed our visit here. There were quite a few school children but nevertheless it was very interesting and enjoyable.
MAG010;2021-08-20 13:24:13.386;4.0;6;726;36979;Mik1984@Mik1984;Guildford, UK;235;Couples;2019-01-28;2018-02-01;4;en;The tower was a lovely place to explore. The different terraces were great. With limited ankle mobility it was tricky to get to the upper levels.
MAG010;2021-08-20 13:24:29.385;4.0;6;726;36979;pierre.lima@Dream810334;Lisbon, Portugal;179;Family;2019-01-15;2018-02-01;5;en;When visiting Libon don’t miss a visit of this beautiful monument, the original place of all the Portuguese many discoveries !
MAG093;2021-08-21 16:16:03.647;4.5;1;101;6805;WC-Travelers-75@WC-Travelers-75;West Chester, PA;2183;Couples;2019-02-26;2018-03-01;4;en;The only site in Braga we had too see. Paid parking at the top. Because it was raining, I did a quick down and up jaunt between the Pelican Fountain and the Escadaria to the Chapel of the Crucifixion and no further. Snapped photos of chapels of 14 Stations of the Cross. The Funicular was not running at the time.
